Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Day,Day_Sort,Month,Month_sort,Age_Group,Quantity_Category,Weekday_flag
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,Friday,5,November,11,25–34,Few Items,Weekday
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,Monday,1,February,2,25–34,Few Items,Weekday
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,Friday,5,January,1,45–54,Single Item,Weekday
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,Sunday,7,May,5,35–44,Single Item,Weekend
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,Saturday,6,May,5,25–34,Few Items,Weekend
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,Tuesday,2,April,4,45–54,Single Item,Weekday
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,Monday,1,March,3,45–54,Few Items,Weekday
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,Wednesday,3,February,2,25–34,Bulk Purchase,Weekday
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,Wednesday,3,December,12,55–64,Few Items,Weekday
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,Saturday,6,October,10,45–54,Bulk Purchase,Weekend
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,Tuesday,2,February,2,18–24,Few Items,Weekday
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,Monday,1,October,10,35–44,Few Items,Weekday
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,Saturday,6,August,8,18–24,Few Items,Weekend
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,Tuesday,2,January,1,55–64,Bulk Purchase,Weekday
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,Monday,1,January,1,35–44,Bulk Purchase,Weekday
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,Friday,5,February,2,18–24,Few Items,Weekday
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,Saturday,6,April,4,25–34,Bulk Purchase,Weekend
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,Sunday,7,April,4,45–54,Few Items,Weekend
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,Saturday,6,September,9,55–64,Few Items,Weekend
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,Sunday,7,November,11,18–24,Few Items,Weekend
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,Saturday,6,January,1,45–54,Single Item,Weekend
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,Sunday,7,October,10,18–24,Few Items,Weekend
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,Wednesday,3,April,4,35–44,Bulk Purchase,Weekday
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,Wednesday,3,November,11,45–54,Single Item,Weekday
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,Tuesday,2,December,12,55–64,Single Item,Weekday
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,Saturday,6,October,10,25–34,Few Items,Weekend
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,Thursday,4,August,8,35–44,Few Items,Weekday
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,Sunday,7,April,4,35–44,Single Item,Weekend
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,Friday,5,August,8,35–44,Single Item,Weekday
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,Sunday,7,October,10,35–44,Few Items,Weekend
